CVE_ENT,CVE_MUN,CVEGEO,NOMGEO
"15","001","15001",Acambay de Ruíz Castañeda
"15","002","15002",Acolman
"15","003","15003",Aculco
"15","004","15004",Almoloya de Alquisiras
"15","005","15005",Almoloya de Juárez
"15","006","15006",Almoloya del Río
"15","007","15007",Amanalco
"15","008","15008",Amatepec
"15","009","15009",Amecameca
"15","010","15010",Apaxco
"15","011","15011",Atenco
"15","013","15013",Atizapán de Zaragoza
"15","014","15014",Atlacomulco
"15","015","15015",Atlautla
"15","016","15016",Axapusco
"15","017","15017",Ayapango
"15","019","15019",Capulhuac
"15","020","15020",Coacalco de Berriozábal
"15","021","15021",Coatepec Harinas
"15","022","15022",Cocotitlán
"15","023","15023",Coyotepec
"15","024","15024",Cuautitlán
"15","025","15025",Chalco
"15","026","15026",Chapa de Mota
"15","028","15028",Chiautla
"15","029","15029",Chicoloapan
"15","030","15030",Chiconcuac
"15","031","15031",Chimalhuacán
"15","032","15032",Donato Guerra
"15","033","15033",Ecatepec de Morelos
"15","034","15034",Ecatzingo
"15","035","15035",Huehuetoca
"15","036","15036",Hueypoxtla
"15","037","15037",Huixquilucan
"15","038","15038",Isidro Fabela
"15","039","15039",Ixtapaluca
"15","040","15040",Ixtapan de la Sal
"15","041","15041",Ixtapan del Oro
"15","042","15042",Ixtlahuaca
"15","043","15043",Xalatlaco
"15","044","15044",Jaltenco
"15","045","15045",Jilotepec
"15","046","15046",Jilotzingo
"15","047","15047",Jiquipilco
"15","048","15048",Jocotitlán
"15","049","15049",Joquicingo
"15","050","15050",Juchitepec
"15","052","15052",Malinalco
"15","053","15053",Melchor Ocampo
"15","055","15055",Mexicaltzingo
"15","056","15056",Morelos
"15","057","15057",Naucalpan de Juárez
"15","058","15058",Nezahualcóyotl
"15","059","15059",Nextlalpan
"15","060","15060",Nicolás Romero
"15","061","15061",Nopaltepec
"15","062","15062",Ocoyoacac
"15","063","15063",Ocuilan
"15","064","15064",El Oro
"15","065","15065",Otumba
"15","066","15066",Otzoloapan
"15","067","15067",Otzolotepec
"15","068","15068",Ozumba
"15","069","15069",Papalotla
"15","070","15070",La Paz
"15","071","15071",Polotitlán
"15","072","15072",Rayón
"15","074","15074",San Felipe del Progreso
"15","075","15075",San Martín de las Pirámides
"15","077","15077",San Simón de Guerrero
"15","078","15078",Santo Tomás
"15","079","15079",Soyaniquilpan de Juárez
"15","080","15080",Sultepec
"15","081","15081",Tecámac
"15","082","15082",Tejupilco
"15","083","15083",Temamatla
"15","084","15084",Temascalapa
"15","085","15085",Temascalcingo
"15","086","15086",Temascaltepec
"15","087","15087",Temoaya
"15","088","15088",Tenancingo
"15","089","15089",Tenango del Aire
"15","090","15090",Tenango del Valle
"15","091","15091",Teoloyucan
"15","092","15092",Teotihuacán
"15","093","15093",Tepetlaoxtoc
"15","094","15094",Tepetlixpa
"15","095","15095",Tepotzotlán
"15","096","15096",Tequixquiac
"15","097","15097",Texcaltitlán
"15","098","15098",Texcalyacac
"15","099","15099",Texcoco
"15","100","15100",Tezoyuca
"15","102","15102",Timilpan
"15","103","15103",Tlalmanalco
"15","104","15104",Tlalnepantla de Baz
"15","105","15105",Tlatlaya
"15","106","15106",Toluca
"15","107","15107",Tonatico
"15","108","15108",Tultepec
"15","109","15109",Tultitlán
"15","110","15110",Valle de Bravo
"15","111","15111",Villa de Allende
"15","113","15113",Villa Guerrero
"15","114","15114",Villa Victoria
"15","115","15115",Xonacatlán
"15","116","15116",Zacazonapan
"15","117","15117",Zacualpan
"15","118","15118",Zinacantepec
"15","119","15119",Zumpahuacán
"15","120","15120",Zumpango
"15","121","15121",Cuautitlán Izcalli
"15","122","15122",Valle de Chalco Solidaridad
"15","123","15123",Luvianos
"15","124","15124",San José del Rincón
"15","125","15125",Tonanitla
"15","051","15051",Lerma
"15","054","15054",Metepec
"15","076","15076",San Mateo Atenco
"15","027","15027",Chapultepec
"15","073","15073",San Antonio la Isla
"15","012","15012",Atizapán
"15","018","15018",Calimaya
"15","101","15101",Tianguistenco
"15","112","15112",Villa del Carbón
